71,Philippines,13,122,0,0,0,0,0,50,30,10
72,Singapore,1.3667,103.8,0,0,0,0,Vizocom,50,30,10
73,Thailand,15,100,0,0,0,0,Vizocom,50,30,10
74,Timor-Leste,-8.55,125.5167,0,0,0,0,Vizocom,50,30,10
75,Vietnam,16,106,0,0,0,0,Vizocom,50,30,10
76,Afghanistan,33,65,0,0,0,0,Vizocom,50,30,10
77,Bangladesh,24,90,0,0,0,0,Vizocom,50,30,10
78,Bhutan,27.5,90.5,0,0,0,0,Vizocom,50,30,10
79,India,20,77,0,0,0,0,Jio Fibre,60,1000,200
80,Iran (Islamic Republic of),32,53,0,0,0,0,Vizocom,50,30,10
81,Maldives,3.25,73,0,0,0,0,Vizocom,50,30,10
82,Nepal,28,84,0,0,0,0,Vizocom,50,30,10
83,Pakistan,30,70,0,0,0,0,Vizocom,50,30,10
84,Sri Lanka,7,81,0,0,0,0,0,0,0,0
85,Algeria,28,3,0,0,0,0,Vizocom,50,30,10
86,Angola,-12.5,18.5,0,0,0,0,Vizocom,50,30,10
87,Benin,9.5,2.25,0,0,0,0,Vizocom,50,30,10
88,Burkina Faso,13,-2,0,0,0,0,Vizocom,50,30,10
89,Burundi,-3.5,30,0,0,0,0,Vizocom,50,30,10
90,Cabo Verde,16,-24,0,0,0,0,Vizocom,50,30,10
91,Cameroon,6,12,0,0,0,0,Vizocom,50,30,10
92,Central African Republic,7,21,0,0,0,0,Vizocom,50,30,10
93,Chad,15,19,0,0,0,0,Vizocom,50,30,10
94,Comoros,-12.1667,44.25,0,0,0,0,Vizocom,50,30,10
95,Democratic Republic of the Congo,0,25,0,0,0,0,Vizocom,50,30,10
96,Djibouti,11.5,43,0,0,0,0,Vizocom,50,30,10
97,Egypt,27,30,0,0,0,0,Vizocom,50,30,10
98,Equatorial Guinea,2,10,0,0,0,0,Vizocom,50,30,10
99,Eritrea,15,39,0,0,0,0,Vizocom,50,30,10
100,Eswatini,-26.5,31.5,0,0,0,0,Vizocom,50,30,10
101,Ethiopia,8,38,0,0,0,0,Vizocom,50,30,10
